lemma,count,freq,freq_per_1000
maz,115,0.0004249485442740955,0.425
taisnība,115,0.0004249485442740955,0.425
ministrija,115,0.0004249485442740955,0.425
kārtība,114,0.00042125333954127727,0.421
iepriekš,114,0.00042125333954127727,0.421
aizsardzība,114,0.00042125333954127727,0.421
realitāte,114,0.00042125333954127727,0.421
kura,114,0.00042125333954127727,0.421
cīņa,114,0.00042125333954127727,0.421
stāstīt,113,0.00041755813480845905,0.418
pierādījums,113,0.00041755813480845905,0.418
vēstule,113,0.00041755813480845905,0.418
intervija,113,0.00041755813480845905,0.418
uzrakstīt,113,0.00041755813480845905,0.418
und,113,0.00041755813480845905,0.418
maska,112,0.00041386293007564083,0.414
dabūt,112,0.00041386293007564083,0.414
fb,112,0.00041386293007564083,0.414
darbinieks,112,0.00041386293007564083,0.414
mīlestība,112,0.00041386293007564083,0.414
punkts,112,0.00041386293007564083,0.414
iznīcināt,112,0.00041386293007564083,0.414
slikts,112,0.00041386293007564083,0.414
pvo,111,0.0004101677253428226,0.41
vadīt,111,0.0004101677253428226,0.41
attīstība,111,0.0004101677253428226,0.41
fizisks,110,0.0004064725206100044,0.406
vēlu,110,0.0004064725206100044,0.406
vide,110,0.0004064725206100044,0.406
obligāts,109,0.00040277731587718617,0.403
centrs,109,0.00040277731587718617,0.403
pieaugt,109,0.00040277731587718617,0.403
ieteikt,109,0.00040277731587718617,0.403
ikviens,109,0.00040277731587718617,0.403
projekts,109,0.00040277731587718617,0.403
prezidents,109,0.00040277731587718617,0.403
resurss,109,0.00040277731587718617,0.403
zaudēt,108,0.00039908211114436795,0.399
īsts,108,0.00039908211114436795,0.399
slims,108,0.00039908211114436795,0.399
lūdzu,108,0.00039908211114436795,0.399
krievija,108,0.00039908211114436795,0.399
agenskalnaklinika,107,0.0003953869064115497,0.395
dzivebezbaile,107,0.0003953869064115497,0.395
parasti,107,0.0003953869064115497,0.395
grāmata,107,0.0003953869064115497,0.395
ideja,107,0.0003953869064115497,0.395
produkts,107,0.0003953869064115497,0.395
kopamesvars,106,0.0003916917016787315,0.392
teksts,106,0.0003916917016787315,0.392
sniegt,106,0.0003916917016787315,0.392
ieraksts,105,0.0003879964969459133,0.388
balsot,105,0.0003879964969459133,0.388
izdevums,105,0.0003879964969459133,0.388
ivermektīns,105,0.0003879964969459133,0.388
īsti,104,0.00038430129221309506,0.384
izglītība,104,0.00038430129221309506,0.384
prieks,104,0.00038430129221309506,0.384
likties,103,0.00038060608748027684,0.381
drošība,103,0.00038060608748027684,0.381
aprūpe,103,0.00038060608748027684,0.381
politika,103,0.00038060608748027684,0.381
dalīties,102,0.0003769108827474586,0.377
infekcija,102,0.0003769108827474586,0.377
dabisks,102,0.0003769108827474586,0.377
injekcija,102,0.0003769108827474586,0.377
